nombre,fecha,download_url
HOMICIDIO INTENCIONAL.xlsx,"{'value': '2026-03-24T15:35:29.981Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTD2155DC1726D4A21B0B8267F91325AB5/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
LESIONES ACCIDENTES DE TRÁNSITO.xlsx,"{'value': '2026-03-24T22:56:19.140Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT4DA40868407D4752B24BE742D8BF0452/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
LESIONES COMUNES.xlsx,"{'value': '2026-03-25T00:43:15.273Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT53C09FE87BE14ACE904069DB6848C811/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
MASACRES.xlsx,"{'value': '2026-03-24T22:54:51.125Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT7B88CCACEDD441E3984D326E3696DB5E/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
PUENTES Y VÍAS.xlsx,"{'value': '2026-03-25T00:13:07.100Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT19B22F2F695A4CDD8EFE44B2A88A8AFE/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
TERRORISMO.xlsx,"{'value': '2026-03-25T00:12:28.916Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTDF4D607F36A147BBAD763111C365256E/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
VOLADURA DE OLEODUCTOS.xlsx,"{'value': '2026-03-25T00:13:36.563Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTA4D0847400934551B61A93D9C6B0E521/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
AFECTACIÓN A LA FUERZA PÚBLICA.xlsx,"{'value': '2026-03-25T00:28:21.722Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT9DC8FFA70F73409DBD3B60EBAF72A7C3/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
DELITOS CONTRA EL MEDIO AMBIENTE.xlsx,"{'value': '2026-03-24T23:01:20.971Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT8A90C91C09374BC0BBD44108E631B2B1/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
VIOLENCIA INTRAFAMILIAR.xlsx,"{'value': '2026-03-24T23:44:53.941Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT93A3E06E0C134EF197783385D56AABBF/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
DELITOS SEXUALES.xlsx,"{'value': '2026-03-25T00:09:56.145Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTEBEA4A10A270484195D139CF815742F3/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
DELITOS INFORMÁTICOS.xlsx,"{'value': '2026-03-25T00:11:21.816Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT92AC3B93285642069C008C997FA6F8DA/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
ASPERSION.xlsx,"{'value': '2026-03-25T00:17:08.942Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTE4534BAE0AAD44848EA01BEF27F3647A/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
DESTRUCCIÓN DE INFRAESTRUCTURAS.xlsx,"{'value': '2026-03-25T00:25:49.379Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/MIGRATED_D55325AEF2D674CF0287A7C70A3F4AAB86A68A14C6C7/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
ERRADICACIÓN.xlsx,"{'value': '2026-03-25T00:24:04.213Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT6B4DEA18B71846339D43D1B6DA9F9895/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
HOJA DE COCA.xlsx,"{'value': '2026-03-25T00:24:37.252Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT8352C2BCCD8046FD9C7D0375BECA0EFE/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
INCAUTACIÓN DE BASE DE COCA.xlsx,"{'value': '2026-03-25T00:19:13.288Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT5C7AF3004351456698F65A3B0E0D2835/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
INCAUTACIÓN DE BASUCO.xlsx,"{'value': '2026-03-25T00:20:09.828Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTED6AD91E36534AE29196A57A1F928BB7/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
INCAUTACIÓN DE COCAINA.xlsx,"{'value': '2026-03-25T00:20:38.735Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT9C2611CEC797459DADED5AE32FEE1008/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
INCAUTACIÓN DE HEROINA.xlsx,"{'value': '2026-03-25T00:25:15.493Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTE9B47819DFC348978204C2FD98F9AD80/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
INCAUTACIÓN DE MARIHUANA.xlsx,"{'value': '2026-03-25T00:18:28.625Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTBAD6CD00BFFC4A309B7B4E427C6423F8/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
INSUMOS LIQUIDOS.xlsx,"{'value': '2026-03-25T00:16:02.504Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT6427606A5C364B30B63583959A93042B/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
INSUMOS SOLIDOS.xlsx,"{'value': '2026-03-25T00:16:36.120Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT1BA5A5E4535848B0906C0319B89A667F/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
EXTORSIÓN.xlsx,"{'value': '2026-03-24T23:24:18.221Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT7154F2FB1B264CDCAD9A48A3BEE58A77/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
HURTO A COMERCIO.xlsx,"{'value': '2026-03-24T23:40:54.389Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT1F6023E051B746DAA1F3E4075209A882/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
HURTO A RESIDENCIAS.xlsx,"{'value': '2026-03-24T23:37:29.736Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT278B01DD860B435DB5ECC2AB6ABC3EDB/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
HURTO ABIGEATO.xlsx,"{'value': '2026-03-24T23:39:53.759Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTA10A2B7AA8244E908DE49ADC66350C71/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
HURTO DE VEHÍCULOS.xlsx,"{'value': '2026-03-24T23:23:40.305Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT2BF65517CF044CC19DD6CB5BB4A7B411/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
HURTO ENTIDADES FINANCIERAS.xlsx,"{'value': '2026-03-24T23:38:36.868Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT253B6D0EC16D4FC58A6A28EE5C40634E/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
HURTO PERSONAS.xlsx,"{'value': '2026-03-24T23:41:49.970Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTEBDF030F568F49A4A73563ADB8DBA8AB/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
INVASIÓN DE TIERRAS.xlsx,"{'value': '2026-03-24T23:42:30.067Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONTFFC7807A03264C39B2A068EA6C732896/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
PIRATERÍA TERRESTRE.xlsx,"{'value': '2026-03-24T23:21:37.482Z', 'timezone': 'UTC'}",https://www.mindefensa.gov.co/sites/web/content/published/api/v1.1/assets/CONT3521D1E9F98A443995EC01D2E046D974/native?siteId=Sitio-Web-Ministerio-Defensa&channelToken=86fd5ad8af1b4db2b56bfc60a05ec867
